name,phone,whatsapp,address,district,districtCn,website,facebook,instagram,services,notes,rating,isVerified,isActive
"Dog Dog Come Wonderland","22624199","","Phase 3， Shop B1， Ocean Shore， Chui Ling Rd， Tiu Keng Leng","Others","","","https://www.instagram.com/dogdogcome_hk/","https://www.facebook.com/dogdogcomehk/","","",0,false,true
"Baby Pets House Ltd","57292729","","鰂魚涌芬尼街30號J號鋪海暉大廈","Others","","","https://www.instagram.com/babypetshouseltd/","https://www.facebook.com/pages/Baby-Pets-House-Ltd/605033856356685","","",0,false,true
"油塘寵物大本營","27274088","","油塘嘉榮街3-7號油塘中心嘉發商場59號地鋪","Others","","","https://www.instagram.com/pet.bin.home/","https://www.facebook.com/p/%E5%AF%B5%E7%89%A9%E5%A4%A7%E6%9C%AC%E7%87%9F-100042676557289/","","",0,false,true
"Pet minions 寵物兵團 （寵物美容、寵物用品、寵物食品）","95142899","","北角堡壘街34B","Others","","","https://www.instagram.com/petminions1?igshid=OGQ5ZDc2ODk2ZA%3D%3D","https://www.facebook.com/profile.php?id=100079192622967#","","",0,false,true
"毛Mode家族寵物美容","28060919","","北角渣華道威邦商業中心地下3號舖","Others","","","https://www.instagram.com/momodefamilypetgrooming/","https://www.facebook.com/marketfairish","","",0,false,true
"Pet'srelax 鬆馳狗寵物美容工作室","23422688","","觀塘觀塘道448-458號官塘工業中心3期10樓T室","Others","","","","https://www.facebook.com/p/Petsrelax-%E9%AC%86%E9%A6%B3%E7%8B%97%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9%E5%B7%A5%E4%BD%9C%E5%AE%A4-100063788626003/","","",0,false,true
"貓犬浴場","26300089","","馬鞍山新港城一期AB座地下2號舖","Others","","","","https://www.facebook.com/morn.pet/?locale=zh_HK","","",0,false,true
"Paw Palace","25767999","","跑馬地奕蔭街24號","Others","","","https://www.instagram.com/pawpalace?fbclid=IwY2xjawJThRBleHRuA2FlbQIxMAABHeUPC6lCtIEwT0-V9aw_vCqVSHOBBNo6ESI1m0uKmn3-oz3Cdj3faT-bLA_aem_QZ_icBukIL9udQnsX_Sj6A","https://www.facebook.com/PawPalaceHongKong","","",0,false,true
"狗狗物語","28852220","","筲箕灣筲箕灣道235號","得2.5分","得2.5分","","","https://www.facebook.com/Monogatariofpet/","","",0,false,true
"Pet n' wooo 寵物角度","66526716","","Shop C31， 2/F， 萬年工業大廈116-118 How Ming St， Kwun Tong","Others","","","https://www.instagram.com/petnwooo_hk?fbclid=IwY2xjawJThXJleHRuA2FlbQIxMAABHeVZMoeqY6WRuV_Ch4V8x7fVpu49GXxgyiuOJ1QCLZtU7kxkfH1wZ0KXjw_aem_LPnu9VdciPiLx-xsi2_bmQ","https://www.facebook.com/petnwooo/","","",0,false,true
